N=10, K=87, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=88, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=89, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=90, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=91, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=92, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=93, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=94, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=95, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=96, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=10, K=97, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=1, t1=[[0.445 0.055],[0.21 0.29]], t2=[[0.445 0.055],[0.21 0.29]]
N=100, K=2, t1=[[0.495 0.005],[0.105 0.395]], t2=[[0.495 0.005],[0.105 0.395]]
N=100, K=3, t1=[[0.5 0. ],[0.125 0.375]], t2=[[0.5 0. ],[0.11 0.39]]
N=100, K=4, t1=[[0.5 0. ],[0.075 0.425]], t2=[[0.5 0. ],[0.035 0.465]]
N=100, K=5, t1=[[0.5 0. ],[0.085 0.415]], t2=[[0.5 0. ],[0.05 0.45]]
N=100, K=6, t1=[[0.5 0. ],[0.07 0.43]], t2=[[0.5 0. ],[0.03 0.47]]
N=100, K=7, t1=[[0.5 0. ],[0.04 0.46]], t2=[[0.5 0. ],[0.005 0.495]]
N=100, K=8, t1=[[0.5 0. ],[0.05 0.45]], t2=[[0.5 0. ],[0.015 0.485]]
N=100, K=9, t1=[[0.5 0. ],[0.045 0.455]], t2=[[0.5 0. ],[0.025 0.475]]
N=100, K=10, t1=[[0.5 0. ],[0.075 0.425]], t2=[[0.5 0. ],[0.01 0.49]]
N=100, K=11, t1=[[0.5 0. ],[0.02 0.48]], t2=[[0.5 0. ],[0.005 0.495]]
N=100, K=12, t1=[[0.5 0. ],[0.04 0.46]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=13, t1=[[0.5 0. ],[0.03 0.47]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=14, t1=[[0.5 0. ],[0.02 0.48]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=15, t1=[[0.5 0. ],[0.02 0.48]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=16, t1=[[0.5 0. ],[0.025 0.475]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=17, t1=[[0.5 0. ],[0.01 0.49]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=18, t1=[[0.5 0. ],[0.005 0.495]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=19, t1=[[0.5 0. ],[0.015 0.485]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=20, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=21, t1=[[0.5 0. ],[0.005 0.495]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=22, t1=[[0.5 0. ],[0.005 0.495]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=23, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=24, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=25, t1=[[0.5 0. ],[0.005 0.495]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=26, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=27, t1=[[0.5 0. ],[0.005 0.495]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=28, t1=[[0.5 0. ],[0.005 0.495]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=29, t1=[[0.5 0. ],[0.005 0.495]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=30, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=31, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=32, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=33, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=34, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=35, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=36, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=37, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=38, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=39, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=40, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=41, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=42, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=43, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=44, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=45, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=46, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
