N=100, K=77, t=[[0.5 0. ],[0.  0.5]]
N=100, K=78, t=[[0.5 0. ],[0.  0.5]]
N=100, K=79, t=[[0.5 0. ],[0.  0.5]]
N=100, K=80, t=[[0.5 0. ],[0.  0.5]]
N=100, K=81, t=[[0.5 0. ],[0.  0.5]]
N=100, K=82, t=[[0.5 0. ],[0.  0.5]]
N=100, K=83, t=[[0.5 0. ],[0.  0.5]]
N=100, K=84, t=[[0.5 0. ],[0.  0.5]]
N=100, K=85, t=[[0.5 0. ],[0.  0.5]]
N=100, K=86, t=[[0.5 0. ],[0.  0.5]]
N=100, K=87, t=[[0.5 0. ],[0.  0.5]]
N=100, K=88, t=[[0.5 0. ],[0.  0.5]]
N=100, K=89, t=[[0.5 0. ],[0.  0.5]]
N=100, K=90, t=[[0.5 0. ],[0.  0.5]]
N=100, K=91, t=[[0.5 0. ],[0.  0.5]]
N=100, K=92, t=[[0.5 0. ],[0.  0.5]]
N=100, K=93, t=[[0.5 0. ],[0.  0.5]]
N=100, K=94, t=[[0.5 0. ],[0.  0.5]]
N=100, K=95, t=[[0.5 0. ],[0.  0.5]]
N=100, K=96, t=[[0.5 0. ],[0.  0.5]]
N=100, K=97, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=1, t=[[0.4825 0.0175],[0.1935 0.3065]]
N=1000, K=2, t=[[0.49 0.01],[0.0925 0.4075]]
N=1000, K=3, t=[[0.4845 0.0155],[0.076 0.424]]
N=1000, K=4, t=[[0.4895 0.0105],[0.0515 0.4485]]
N=1000, K=5, t=[[0.481 0.019],[0.0345 0.4655]]
N=1000, K=6, t=[[0.4875 0.0125],[0.019 0.481]]
N=1000, K=7, t=[[0.489 0.011],[0.0145 0.4855]]
N=1000, K=8, t=[[0.4935 0.0065],[0.01 0.49]]
N=1000, K=9, t=[[0.498 0.002],[0.006 0.494]]
N=1000, K=10, t=[[0.499 0.001],[0.0065 0.4935]]
N=1000, K=11, t=[[0.5 0. ],[0.0025 0.4975]]
N=1000, K=12, t=[[0.5 0. ],[0.0025 0.4975]]
N=1000, K=13, t=[[0.5 0. ],[0.001 0.499]]
N=1000, K=14, t=[[0.5 0. ],[0.002 0.498]]
N=1000, K=15, t=[[0.5 0. ],[0.002 0.498]]
N=1000, K=16, t=[[0.5 0. ],[0.0005 0.4995]]
N=1000, K=17, t=[[0.5 0. ],[0.0015 0.4985]]
N=1000, K=18, t=[[0.5 0. ],[0.001 0.499]]
N=1000, K=19, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=20, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=21, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=22, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=23, t=[[0.5 0. ],[0.0005 0.4995]]
N=1000, K=24, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=25, t=[[0.5 0. ],[0.  0.5]]
